chr13	67205418	67799536	2	2	0
chr22	36704917	36705326	2	2	0
chr5	176053518	176053732	2	2	0
chr1	204199718	204210502	2	2	0
chr11	117710540	117711033	2	2	0
chr22	38618670	38620791	2	2	0
chr3	4836872	4841038	1	1	0
chr3	47958665	47963254	2	2	0
chr17	42990796	42991095	2	2	0
chr3	47969841	47981988	2	2	0
chr20	34800299	34809785	1	1	0
chr20	44685204	44685808	1	1	0
chr1	67156000	67184976	1	1	0
chr2	183868048	183888533	2	2	0
chr11	63766160	63766426	2	2	0
chr12	2904411	2906894	1	1	0
chr19	47774907	47775325	1	1	0
chr1	202572256	202573582	2	2	0
chr2	210561776	210565003	1	1	0
chr22	25508430	25566786	1	1	0
chr5	132087871	132096493	2	2	0
chr1	203044886	203045095	1	1	0
chr22	42387673	42388670	1	1	0
chr17	36724483	36734742	2	2	0
chr18	59878476	59888451	1	1	0
chr15	40581560	40582777	2	2	0
chr1	14507088	14925478	1	1	0
chr9	131391467	131392599	1	1	0
chrX	48842653	48844198	2	2	0
chr21	47979777	47980634	1	1	0
chr2	122168546	122171716	2	2	0
chr3	115395458	115439643	1	1	0
chr18	5398143	5406763	2	2	0
chr9	131390222	131391403	1	1	0
chr4	1824037	1824714	2	2	0
chr1	155850412	155850988	1	1	0
chr6	72003083	72003232	1	1	0
chr14	103554579	103556033	1	1	0
chr12	280328	283781	1	1	0
chr11	124792736	124793235	2	2	0
chr22	39224515	39239239	2	2	0
chr2	204255867	204260381	1	1	0
chr17	42390064	42390483	1	1	0
chr10	118466797	118594445	2	2	0
chr14	105945557	105945906	1	1	0
